,Mkt-RF,SMB,HML,RF
19970306,-0.31,0.1,0.42,0.021
19970307,0.67,-0.58,0.27,0.021
19970310,0.85,-0.49,0.06,0.021
19970311,-0.24,0.44,0.22,0.021
19970312,-0.8,-0.05,0.66,0.021
19970313,-1.66,0.69,-0.08,0.021
19970314,0.31,-0.38,-0.18,0.021
19970317,-0.11,-0.85,0.54,0.021
19970318,-0.77,0.27,0.22,0.021
19970319,-0.65,-0.8,1.02,0.021
19970320,-0.2,0.54,-0.25,0.021
19970321,0.09,-0.36,0.13,0.021
19970324,0.47,-1.49,0.68,0.021
19970325,-0.08,0.41,-0.22,0.021
19970326,0.23,0.55,-0.96,0.021
19970327,-1.9,1.27,0.03,0.021
19970331,-2.26,0.72,0.88,0.021
19970401,0.17,-0.99,0.48,0.02
19970402,-1.17,0.46,0.04,0.02
19970403,-0.02,-0.37,-0.27,0.02
19970404,1.15,0.32,-1.36,0.02
19970407,0.77,0.28,-0.19,0.02
19970408,0.43,-0.45,0.3,0.02
19970409,-0.58,0.94,0.25,0.02
19970410,-0.42,-0.03,0.41,0.02
19970411,-2.48,0.96,0.38,0.02
19970414,0.55,-0.68,-0.24,0.02
19970415,1.19,-1.02,0.21,0.02
19970416,0.81,-0.87,-0.12,0.02
19970417,-0.11,0.09,0.36,0.02
19970418,0.42,-0.07,-0.16,0.02
19970421,-0.99,-0.08,0.37,0.02
19970422,1.4,-1.62,-0.01,0.02
19970423,-0.03,0,-0.31,0.02
19970424,-0.22,0.35,0.01,0.02
19970425,-0.95,0.1,0.47,0.02
19970428,0.81,-1.17,0.3,0.02
19970429,2.41,-1.51,-0.34,0.02
19970430,0.93,-0.44,-0.42,0.02
19970501,-0.1,1.01,-0.29,0.023
19970502,1.93,0.48,-0.67,0.023
19970505,2.16,0.17,-1.51,0.023
19970506,-0.31,0.07,0.48,0.023
19970507,-1.18,1.27,-0.18,0.023
19970508,0.41,-0.56,-0.07,0.023
19970509,0.51,-0.06,0.09,0.023
19970512,1.29,-0.72,-0.2,0.023
19970513,-0.45,0.49,-0.07,0.023
19970514,0.35,-0.3,0.59,0.023
19970515,0.58,-0.07,-0.83,0.023
19970516,-1.13,1.09,0.37,0.023
19970519,0.27,0.02,-0.28,0.023
19970520,0.91,-0.56,-0.21,0.023
19970521,-0.13,0.9,-0.73,0.023
19970522,-0.27,0.56,0.41,0.023
19970523,1.26,-0.08,-0.49,0.023
19970527,0.3,0.35,-1,0.023
19970528,-0.11,0.52,0.01,0.023
19970529,-0.28,0.49,0.18,0.023
19970530,0.55,-0.35,0.61,0.023
19970602,-0.05,0.92,-0.2,0.018
19970603,-0.16,-0.11,0.87,0.018
19970604,-0.44,0.46,0.35,0.018
19970605,0.42,-0.03,0.23,0.018
19970606,1.41,-0.83,-0.28,0.018
19970609,0.48,-0.25,0.11,0.018
19970610,0.14,-0.56,0.57,0.018
19970611,0.41,-0.34,0.1,0.018
19970612,1.29,-1.01,0.14,0.018
19970613,0.98,-0.38,-0.35,0.018
19970616,0.04,-0.1,-0.06,0.018
19970617,0.12,0.16,-0.08,0.018
19970618,-0.38,0.22,0.6,0.018
19970619,0.95,-0.08,-0.25,0.018
19970620,-0.04,-0.31,-0.05,0.018
19970623,-1.84,1.41,0.21,0.018
19970624,1.61,-0.92,-0.18,0.018
19970625,-0.71,0.52,0.35,0.018
19970626,-0.5,0.37,0.09,0.018
19970627,0.42,0.3,-0.12,0.018
19970630,-0.1,1.67,-0.63,0.018
19970701,0.55,-0.99,0.53,0.019
19970702,1.17,-1.16,-0.17,0.019
19970703,1.2,-0.77,-0.24,0.019
19970707,-0.35,0.4,0.04,0.019
19970708,0.69,-0.36,-0.31,0.019
19970709,-0.95,0.86,0.12,0.019
19970710,0.57,-0.19,0.19,0.019
19970711,0.44,0.42,-0.31,0.019
19970714,0.24,0.29,-0.4,0.019
19970715,0.75,0.13,-0.56,0.019
19970716,1.14,-0.23,-0.51,0.019
