,Mkt-RF,SMB,HML,RF
19720103,-0.37,0.65,0.62,0.014
19720104,0.39,0.36,0.36,0.014
19720105,0.97,0.31,0.55,0.014
19720106,0.44,0.47,-0.14,0.014
19720107,-0.01,0.24,0.02,0.014
19720110,-0.04,0.44,0.27,0.014
19720111,0.39,0.46,0.2,0.014
19720112,-0.07,-0.2,-0.14,0.014
19720113,-0.59,0.03,-0.17,0.014
19720114,0.4,0.35,-0.1,0.014
19720117,0.33,0.29,0.12,0.014
19720118,0.38,0.21,0.16,0.014
19720119,-0.15,0.14,-0.06,0.014
19720120,-0.08,-0.07,-0.26,0.014
19720121,-0.19,0.28,-0.1,0.014
19720124,-1.09,0.06,0.25,0.014
19720125,0.16,-0.04,-0.23,0.014
19720126,-0.16,0.43,0.09,0.014
19720127,1.1,0.45,-0.02,0.014
19720128,0.73,0.22,0.37,0.014
19720131,-0.06,0.53,0.31,0.014
19720201,0.14,0.52,-0.43,0.012
19720202,0.62,0.61,-0.85,0.012
19720203,-0.02,-0.06,-0.64,0.012
19720204,0.36,-0.08,0.24,0.012
19720207,-0.35,-0.02,0.39,0.012
19720208,0.13,-0.01,-0.18,0.012
19720209,0.72,0.1,-0.14,0.012
19720210,0.03,-0.2,0.24,0.012
19720211,-0.4,0.17,-0.15,0.012
19720214,-0.4,0,0.05,0.012
19720215,0.45,0.27,-0.12,0.012
19720216,0.49,-0.01,-0.04,0.012
19720217,-0.04,0.07,-0.15,0.012
19720218,-0.24,0.14,-0.28,0.012
19720222,-0.01,0.06,0.13,0.012
19720223,0.12,0.04,-0.19,0.012
19720224,0.15,0.03,-0.21,0.012
19720225,0.63,-0.1,-0.32,0.012
19720228,0.06,-0.28,0.26,0.012
19720229,0.41,0.01,-0.34,0.012
19720301,0.8,0.03,-0.54,0.012
19720302,0.05,0.1,-0.22,0.012
19720303,0.58,0.17,-0.34,0.012
19720306,0.75,-0.18,0.25,0.012
19720307,0.12,-0.26,-0.04,0.012
19720308,0.18,0.63,-0.33,0.012
19720309,0.02,0.41,-0.18,0.012
19720310,-0.54,0.13,0.09,0.012
19720313,-0.95,-0.13,0.52,0.012
19720314,0.29,0.01,0.15,0.012
19720315,0.07,-0.17,0.04,0.012
19720316,-0.28,-0.19,-0.06,0.012
19720317,0.27,-0.31,-0.19,0.012
19720320,-0.38,-0.61,0.03,0.012
19720321,-0.94,-0.51,-0.06,0.012
19720322,0.16,-0.06,0.13,0.012
19720323,0.95,0.22,-0.16,0.012
